Franchise Group,Name,Title
National Fitness Partners,"Stephen Kindler, Jr.","Stephen Kindler, Jr., has dedicated the past 15+ years to the fitness industry, beginning his work inside health clubs as a young boy at his family-owned West Shore Health Club in Camp Hill, Pa."
United Fitness Partners,United FP Rings in the New Year with Big Leadership Changes,Executive
United Fitness Partners,Leave a comment Cancel reply,Executive
United Fitness Partners,Members Only,Executive
Flynn Group,EST IN 2023,Leadership
Flynn Group,SNAPSHOT OF WHERE WE ARE NOW,Leadership
Flynn Group,Stanley DeMartinis Jr.,Leadership
Flynn Group,Salvatore DeMartinis,Leadership
Flynn Group,Stella Giangregorio,Leadership
Flynn Group,John Kalinowski,Leadership
Flynn Group,Kass McInnis,Leadership
Flynn Group,Christopher Pimental,Leadership
Flynn Group,Jared Sharp,Leadership
Flynn Group,Christy White,Leadership
Flynn Group,YOUR PATH TO GROWTH,Leadership
Flynn Group,Corporate Office,Leadership
Flynn Group,Support Center,Leadership
Flynn Group,Business Partners,Leadership
